rows,cols,ratio,r_row,r_cell,variant,family,rmse,max_abs_error,max_rel_error,mean_rel_error,backend,elapsed_s
4,4,0.0003,2.9999999999999996,10000.0,combined_full,full,2.0981118879949282e-07,2.0981118879949282e-07,0.000749325674283903,0.000749325674283903,dense,0.0001799000019673258
4,4,0.0005,5.0,10000.0,baseline,none,1.5634455122710201e-06,1.877310895913027e-06,0.006704681771117954,0.005467328327076137,dense,0.00015579999308101833
4,4,0.0005,5.0,10000.0,wl_partial_2,partial,1.1173164920689447e-06,1.1845999877647061e-06,0.004230714242016808,0.003982701317756136,dense,0.0001604999997653067
4,4,0.0005,5.0,10000.0,wl_partial_4,partial,1.5634455122710201e-06,1.877310895913027e-06,0.006704681771117954,0.005467328327076137,dense,0.000149200001033023
4,4,0.0005,5.0,10000.0,wl_full_nonideal_lo,partial,1.0700453075547929e-06,1.0735019581566076e-06,0.003833935564845027,0.003821529977408535,dense,0.00022950000129640102
4,4,0.0005,5.0,10000.0,wl_full_nonideal_hi,partial,1.1676436271673415e-06,1.1846172752646967e-06,0.004230775983088203,0.004168772755867282,dense,0.00022600000374950469
4,4,0.0005,5.0,10000.0,wl_buffer_full,full,1.0457127501787298e-06,1.0457127501787298e-06,0.0037346883934954635,0.0037346883934954635,dense,0.00018300001102034003
4,4,0.0005,5.0,10000.0,bl_star,full,8.958197945915418e-07,1.185224155003542e-06,0.004232943410726936,0.0029894152472684987,dense,0.00015019999409560114
4,4,0.0005,5.0,10000.0,combined_full,full,3.4947587345405184e-07,3.4947587345405184e-07,0.0012481281194787568,0.0012481281194787568,dense,0.0008196999988285825
4,4,0.0007,7.0,10000.0,baseline,none,2.1834905818788597e-06,2.621196067359682e-06,0.00936141452628458,0.007636121517718806,dense,0.0001748000067891553
4,4,0.0007,7.0,10000.0,wl_partial_2,partial,1.5615333334739036e-06,1.6554354399439595e-06,0.005912269428371285,0.005566154046693428,dense,0.00022699999681208283
4,4,0.0007,7.0,10000.0,wl_partial_4,partial,2.1834905818788597e-06,2.621196067359682e-06,0.00936141452628458,0.007636121517718806,dense,0.00015700000221841037
4,4,0.0007,7.0,10000.0,wl_full_nonideal_lo,partial,1.4955739529198368e-06,1.5003986913550318e-06,0.0053585667548394,0.005341251346490269,dense,0.00025540000933688134
4,4,0.0007,7.0,10000.0,wl_full_nonideal_hi,partial,1.6317807684826808e-06,1.6554691588806193e-06,0.005912389853145069,0.0058258610182078075,dense,0.00022870000975672156
4,4,0.0007,7.0,10000.0,wl_buffer_full,full,1.46161082620436e-06,1.46161082620436e-06,0.005220038665015572,0.005220038665015572,dense,0.00018350000027567148
4,4,0.0007,7.0,10000.0,bl_star,full,1.2522839137764447e-06,1.6566542767545186e-06,0.005916622416980424,0.004179285264990656,dense,0.00014819999341852963
4,4,0.0007,7.0,10000.0,combined_full,full,4.88973395065546e-07,4.88973395065546e-07,0.0017463335538055215,0.0017463335538055215,dense,0.0001770000089891255
4,4,0.001,10.0,10000.0,baseline,none,3.1079163541593055e-06,3.7295825863361653e-06,0.013319937808343448,0.010870116366213795,dense,0.00015460001304745674
4,4,0.001,10.0,10000.0,wl_partial_2,partial,2.2249807958813054e-06,2.3584989827794053e-06,0.008423210652783591,0.007931107857997374,dense,0.00015669999993406236
4,4,0.001,10.0,10000.0,wl_partial_4,partial,3.1079163541593055e-06,3.7295825863361653e-06,0.013319937808343448,0.010870116366213795,dense,0.00015039999561849982
4,4,0.001,10.0,10000.0,wl_full_nonideal_lo,partial,2.131221975019868e-06,2.13808342382709e-06,0.007636012227953894,0.007611387554448402,dense,0.0002297000028192997
4,4,0.001,10.0,10000.0,wl_full_nonideal_hi,partial,2.3248858280934097e-06,2.3585672975578813e-06,0.008423454634135292,0.008300428965709952,dense,0.0002547999902162701
4,4,0.001,10.0,10000.0,wl_buffer_full,full,2.0829214176991233e-06,2.0829214176991233e-06,0.007439005063211155,0.007439005063211155,dense,0.0003395000094315037
4,4,0.001,10.0,10000.0,bl_star,full,1.7849987040871023e-06,2.3609726250939877e-06,0.008432045089621386,0.005957820716516031,dense,0.00025019999884534627
4,4,0.001,10.0,10000.0,combined_full,full,6.979069753106884e-07,6.979069753106884e-07,0.0024925249118238875,0.0024925249118238875,dense,0.00018950000230688602
8,8,0.0001,1.0,10000.0,baseline,none,2.4535535856165584e-06,2.9802603407796165e-06,0.005321893465677887,0.004279824303730101,dense,0.0019333999953232706
8,8,0.0001,1.0,10000.0,wl_partial_2,partial,1.4519931600839183e-06,1.479580990248943e-06,0.002642108911158827,0.0025923677677065294,dense,0.0017334000003756955
8,8,0.0001,1.0,10000.0,wl_partial_4,partial,1.623799289944812e-06,1.7579925420614694e-06,0.0031392723965383384,0.002890675777087977,dense,0.001525899991975166
8,8,0.0001,1.0,10000.0,wl_full_nonideal_lo,partial,1.4343186223210975e-06,1.4350138703661617e-06,0.002562524768511003,0.0025612811406973053,dense,0.003100999994785525
8,8,0.0001,1.0,10000.0,wl_full_nonideal_hi,partial,1.476129245163314e-06,1.479582379323779e-06,0.002642111391649606,0.0026358937487335208,dense,0.0028781000000890344
8,8,0.0001,1.0,10000.0,wl_buffer_full,full,1.4238709095823693e-06,1.4238709095823693e-06,0.0025426266242542313,0.0025426266242542313,dense,0.0022425000061048195
8,8,0.0001,1.0,10000.0,bl_star,full,1.3371383176774543e-06,1.8147758828933542e-06,0.0032406712194524186,0.0021942308336383607,dense,0.004686499989475124
8,8,0.0001,1.0,10000.0,combined_full,full,2.518572906586502e-07,2.518572906586502e-07,0.0004497451618904469,0.0004497451618904469,dense,0.002220599999418482
8,8,0.0003,2.9999999999999996,10000.0,baseline,none,7.290455471764913e-06,8.84781628896934e-06,0.015799671944588107,0.012720179541896123,dense,0.0016076000028988346
8,8,0.0003,2.9999999999999996,10000.0,wl_partial_2,partial,4.330550865475263e-06,4.412467761593102e-06,0.00787940671713054,0.0077317160867615385,dense,0.001666500000283122
8,8,0.0003,2.9999999999999996,10000.0,wl_partial_4,partial,4.8401385604413395e-06,5.2383059240990616e-06,0.009354117721605468,0.008616630506382134,dense,0.0016545999969821423
8,8,0.0003,2.9999999999999996,10000.0,wl_full_nonideal_lo,partial,4.278080666721317e-06,4.280145328644795e-06,0.007643116658294278,0.007639423513153339,dense,0.005163599998923019
8,8,0.0003,2.9999999999999996,10000.0,wl_full_nonideal_hi,partial,4.402226703228626e-06,4.4124800700497645e-06,0.007879428696517437,0.007860967368130392,dense,0.003280399992945604
8,8,0.0003,2.9999999999999996,10000.0,wl_buffer_full,full,4.247054255579821e-06,4.247054255579821e-06,0.007584025456392539,0.007584025456392539,dense,0.002118099990184419
8,8,0.0003,2.9999999999999996,10000.0,bl_star,full,3.989698971769383e-06,5.413245032445083e-06,0.009666508986509077,0.006548360145854805,dense,0.0017176999972434714
8,8,0.0003,2.9999999999999996,10000.0,combined_full,full,7.547172444767559e-07,7.547172444767559e-07,0.0013477093651370644,0.0013477093651370644,dense,0.01803170000493992
8,8,0.0005,5.0,10000.0,baseline,none,1.2036050292078871e-05,1.4594608958712276e-05,0.02606180171198621,0.021005293590271264,dense,0.001823099999455735
8,8,0.0005,5.0,10000.0,wl_partial_2,partial,7.175702210241813e-06,7.3108437611902125e-06,0.013055078144982524,0.012811437445510984,dense,0.001637599998502992
8,8,0.0005,5.0,10000.0,wl_partial_4,partial,8.01547940354423e-06,8.671871787812539e-06,0.015485485335379535,0.014269921774428582,dense,0.0015313000039895996
8,8,0.0005,5.0,10000.0,wl_full_nonideal_lo,partial,7.089158028627685e-06,7.0925645968445295e-06,0.01266529392293666,0.012659200499808346,dense,0.002870600001187995
8,8,0.0005,5.0,10000.0,wl_full_nonideal_hi,partial,7.29396215311577e-06,7.310877427081251e-06,0.013055138262645092,0.013024683177066163,dense,0.0077554999879794195
8,8,0.0005,5.0,10000.0,wl_buffer_full,full,7.037966177782088e-06,7.037966177782088e-06,0.012567796746039445,0.012567796746039445,dense,0.0020743000059155747
8,8,0.0005,5.0,10000.0,bl_star,full,6.613701836221448e-06,8.970845052508293e-06,0.01601936616519338,0.010857332452515776,dense,0.0015156000008573756
8,8,0.0005,5.0,10000.0,combined_full,full,1.2564413017571163e-06,1.2564413017571163e-06,0.0022436451817091363,0.0022436451817091363,dense,0.002054399999906309
8,8,0.0007,7.0,10000.0,baseline,none,1.669300211514352e-05,2.0224329677833645e-05,0.03611487442470294,0.029139590271556815,dense,0.0016052999999374151
8,8,0.0007,7.0,10000.0,wl_partial_2,partial,9.988033082750433e-06,1.0175323342920977e-05,0.018170220255216033,0.017832577171302322,dense,0.0018517999997129664
8,8,0.0007,7.0,10000.0,wl_partial_4,partial,1.1150619879077982e-05,1.2059644483865609e-05,0.021535079435474305,0.019851955606276683,dense,0.0031567999976687133
8,8,0.0007,7.0,10000.0,wl_full_nonideal_lo,partial,9.868117682728396e-06,9.872839352720753e-06,0.017630070272715632,0.017621624551586765,dense,0.0029830999992555007
8,8,0.0007,7.0,10000.0,wl_full_nonideal_hi,partial,1.0151945901441604e-05,1.0175388324154045e-05,0.018170336293132226,0.018128130912631428,dense,0.003177899998263456
