rows,cols,ratio,r_row,r_cell,variant,family,rmse,max_abs_error,max_rel_error,mean_rel_error,backend,elapsed_s
16,16,0.001,1.0,1000.0,bl_star,full,0.0009527196203570538,0.0012960297400059495,0.11571694107195978,0.07798183856648119,dense,0.00901099998736754
16,16,0.001,1.0,1000.0,combined_full,full,9.416557881723221e-05,9.416557881723221e-05,0.008407640965824305,0.008407640965824305,dense,0.020469800001592375
16,16,0.003,3.0,1000.0,baseline,none,0.0037541339426985236,0.00440811550264104,0.39358174130723567,0.3302232500878354,dense,0.009707100005471148
16,16,0.003,3.0,1000.0,wl_partial_2,partial,0.002380167474763769,0.0023906800991902993,0.21345358028484815,0.2125128710428576,dense,0.026695399996242486
16,16,0.003,3.0,1000.0,wl_partial_4,partial,0.0024431214078939026,0.0024947785661055925,0.2227480862594279,0.21809408018544976,dense,0.022427999996580184
16,16,0.003,3.0,1000.0,wl_full_nonideal_lo,partial,0.0023736993676772354,0.0023738312671409585,0.21194922028044272,0.21193743863052605,dense,0.05399080000643153
16,16,0.003,3.0,1000.0,wl_full_nonideal_hi,partial,0.0023900356989943927,0.0023906928337845273,0.21345471730218996,0.2133959230619364,dense,0.044788200000766665
16,16,0.003,3.0,1000.0,wl_buffer_full,full,0.002369608212169713,0.002369608212169713,0.21157216180086721,0.21157216180086721,dense,0.01916329999221489
16,16,0.003,3.0,1000.0,bl_star,full,0.00240048694704423,0.003238349866095759,0.2891383809014071,0.19741265402853864,dense,0.009018400000059046
16,16,0.003,3.0,1000.0,combined_full,full,0.0002765114945567689,0.0002765114945567689,0.02468852629971151,0.02468852629971151,dense,0.02837099999305792
16,16,0.01,10.0,1000.0,baseline,none,0.006872684855586879,0.007732316696390034,0.6903854193205388,0.6089815953549849,dense,0.010514199995668605
16,16,0.01,10.0,1000.0,wl_partial_2,partial,0.005058976740725746,0.0050773513885526665,0.4533349454064881,0.45169136157985124,dense,0.020784400010597892
16,16,0.01,10.0,1000.0,wl_partial_4,partial,0.005166712089296597,0.005255481674500697,0.4692394352232765,0.4612553393380776,dense,0.01302120000764262
16,16,0.01,10.0,1000.0,wl_full_nonideal_lo,partial,0.005047709050856233,0.00504794030604753,0.4507089558971009,0.45068830101261875,dense,0.0326171000051545
16,16,0.01,10.0,1000.0,wl_full_nonideal_hi,partial,0.0050762641373659064,0.00507741267610312,0.4533404175092071,0.45323769479807574,dense,0.03188520000549033
16,16,0.01,10.0,1000.0,wl_buffer_full,full,0.005040535110836001,0.005040535110836001,0.45004777775321436,0.45004777775321436,dense,0.020198700003675185
16,16,0.01,10.0,1000.0,bl_star,full,0.0051388871109695625,0.006756832892188966,0.6032886510883005,0.4283331650933272,dense,0.009115599998040125
16,16,0.01,10.0,1000.0,combined_full,full,0.0008587256847604023,0.0008587256847604023,0.07667193613932163,0.07667193613932163,dense,0.018753000011201948
16,16,0.03,30.0,1000.0,baseline,none,0.009120312319062355,0.009826088078590204,0.8773292927312683,0.8118238703632336,dense,0.008853499995893799
16,16,0.03,30.0,1000.0,wl_partial_2,partial,0.007546113921651359,0.007571894833366322,0.6760620386934216,0.6737562259673839,dense,0.013233400008175522
16,16,0.03,30.0,1000.0,wl_partial_4,partial,0.007688918188031457,0.007807132457996692,0.697065398035419,0.6864407934666285,dense,0.010542900010477751
16,16,0.03,30.0,1000.0,wl_full_nonideal_lo,partial,0.007530421258123929,0.007530749087505777,0.6723883113844443,0.6723590313407173,dense,0.03202980000060052
16,16,0.03,30.0,1000.0,wl_full_nonideal_hi,partial,0.007570534965810708,0.00757214626825601,0.6760844882371438,0.6759403915589208,dense,0.04627839999739081
16,16,0.03,30.0,1000.0,wl_buffer_full,full,0.0075202446283030785,0.0075202446283030785,0.6714504132413464,0.6714504132413464,dense,0.019850700002280064
16,16,0.03,30.0,1000.0,bl_star,full,0.007685324153218681,0.009587516340053129,0.8560282446476007,0.6555611254699192,dense,0.009214500008965842
16,16,0.03,30.0,1000.0,combined_full,full,0.002164913864184147,0.002164913864184147,0.19329588073072743,0.19329588073072743,dense,0.01848470000550151
16,16,0.1,100.0,1000.0,baseline,none,0.010394518627948409,0.01079035243593355,0.9634243246369241,0.927243495854986,dense,0.009280999991460703
16,16,0.1,100.0,1000.0,wl_partial_2,partial,0.00934657943915919,0.00938396479766513,0.8378539997915295,0.8345093187041699,dense,0.017088999986299314
16,16,0.1,100.0,1000.0,wl_partial_4,partial,0.009522034595859121,0.009668793270837006,0.8632851134675898,0.850092890868267,dense,0.011103800003184006
16,16,0.1,100.0,1000.0,wl_full_nonideal_lo,partial,0.009324364433476921,0.009324856756612704,0.8325764961261343,0.8325325212824737,dense,0.06312949999119155
16,16,0.1,100.0,1000.0,wl_full_nonideal_hi,partial,0.009382775559427197,0.009385109778163269,0.837956230193149,0.8377474274864469,dense,0.045349100008024834
16,16,0.1,100.0,1000.0,wl_buffer_full,full,0.009309043941308276,0.009309043941308276,0.8311646376168104,0.8311646376168104,dense,0.041551000002073124
16,16,0.1,100.0,1000.0,bl_star,full,0.009494384956929705,0.010876636892948913,0.9711282940132958,0.8320631658246298,dense,0.009454400002141483
16,16,0.1,100.0,1000.0,combined_full,full,0.0047218397642724615,0.0047218397642724615,0.4215928360957555,0.4215928360957555,dense,0.01942820000112988
32,32,0.001,1.0,1000.0,baseline,none,0.00894272960182101,0.010430813009706707,0.46566129507619225,0.39384515525725516,dense,0.19262399998842739
32,32,0.001,1.0,1000.0,wl_partial_2,partial,0.005643540711473987,0.005649925595443809,0.25222882122517004,0.2519436203381801,dense,0.3017293000011705
32,32,0.001,1.0,1000.0,wl_partial_4,partial,0.005681804050235115,0.005713562407940777,0.25506975035449897,0.253648621072717,dense,0.22076569999626372
32,32,0.001,1.0,1000.0,wl_full_nonideal_lo,partial,0.005639665741265051,0.005639705689916563,0.2517725754427037,0.25177079182490836,dense,1.1115921000018716
32,32,0.001,1.0,1000.0,wl_full_nonideal_hi,partial,0.005649728554074867,0.005649928085318914,0.25222893238030863,0.25222001985397957,dense,1.0872707000089576
32,32,0.001,1.0,1000.0,wl_buffer_full,full,0.005637148595706652,0.005637148595706652,0.25165841945118983,0.25165841945118983,dense,0.5562888999993447
32,32,0.001,1.0,1000.0,bl_star,full,0.005918735839331659,0.007985895010406212,0.3565131701074202,0.24301730215031023,dense,0.18112429999746382
32,32,0.001,1.0,1000.0,combined_full,full,0.0003617822101346056,0.0003617822101346056,0.016150991523866322,0.016150991523866322,dense,0.5012251000007382
32,32,0.003,3.0,1000.0,baseline,none,0.014627061239500604,0.016376528704549368,0.7310950314530968,0.6484396185601482,dense,0.17843670000729617
32,32,0.003,3.0,1000.0,wl_partial_2,partial,0.010682617196195218,0.010692966749532507,0.47736458703270124,0.47690232937027366,dense,0.30566470000485424
32,32,0.003,3.0,1000.0,wl_partial_4,partial,0.010744260186800607,0.010795472318890982,0.4819407285219188,0.4796498724799628,dense,0.22877310001058504
32,32,0.003,3.0,1000.0,wl_full_nonideal_lo,partial,0.010676341772287011,0.010676406587429212,0.47662529408166127,0.47662240027619707,dense,1.1616359999898123
32,32,0.003,3.0,1000.0,wl_full_nonideal_hi,partial,0.01069265381924387,0.01069297724745151,0.47736505568979953,0.4773506101547158,dense,1.0856124999991152
32,32,0.003,3.0,1000.0,wl_buffer_full,full,0.010672257606255753,0.010672257606255753,0.47644007170784614,0.47644007170784614,dense,0.549739199996111
32,32,0.003,3.0,1000.0,bl_star,full,0.011195443585614716,0.01473744355418257,0.6579215872402934,0.46494033650707967,dense,0.16511429999081884
32,32,0.003,3.0,1000.0,combined_full,full,0.0010416169640345245,0.0010416169640345245,0.04650075732296984,0.04650075732296984,dense,0.49727659999916796
32,32,0.01,10.0,1000.0,baseline,none,0.019047657720476372,0.0203552197340966,0.908715166700741,0.8482037371000263,dense,0.1782206999923801
32,32,0.01,10.0,1000.0,wl_partial_2,partial,0.01577835589200869,0.01579434038826824,0.7051044816191179,0.7043905262111099,dense,0.33673739999358077
32,32,0.01,10.0,1000.0,wl_partial_4,partial,0.015871451059514156,0.015948886810355722,0.712003875462309,0.7085397836836196,dense,0.2783262999873841
32,32,0.01,10.0,1000.0,wl_full_nonideal_lo,partial,0.015768689756847042,0.015768790259714848,0.7039638508801271,0.7039593637016235,dense,1.0598357999988366
32,32,0.01,10.0,1000.0,wl_full_nonideal_hi,partial,0.015793896419100773,0.015794395935700162,0.7051069614151858,0.7050846506244028,dense,1.052831300010439
32,32,0.01,10.0,1000.0,wl_buffer_full,full,0.01576235518598948,0.01576235518598948,0.7036765708031018,0.7036765708031018,dense,0.49571750000177417
32,32,0.01,10.0,1000.0,bl_star,full,0.016401658786027618,0.02033087701493813,0.9076284381668809,0.6976755364127356,dense,0.16224579999106936
32,32,0.01,10.0,1000.0,combined_full,full,0.003050378380813887,0.003050378380813887,0.13617760628633424,0.13617760628633424,dense,0.49071090000506956
32,32,0.03,30.0,1000.0,baseline,none,0.021009235859451428,0.02174115515012365,0.970587283487663,0.9371477296906807,dense,0.16067339999426622
32,32,0.03,30.0,1000.0,wl_partial_2,partial,0.01871842827871007,0.01874329636220284,0.8367543018840554,0.8356433811456631,dense,0.2898739999945974
32,32,0.03,30.0,1000.0,wl_partial_4,partial,0.018854897579324938,0.018968715466543593,0.8468176547564104,0.8417234116388543,dense,0.23782000000937842
32,32,0.03,30.0,1000.0,wl_full_nonideal_lo,partial,0.018703500471868587,0.01870365858849489,0.8349847584149505,0.8349776987118032,dense,1.0531999999948312
32,32,0.03,30.0,1000.0,wl_full_nonideal_hi,partial,0.0187427753595504,0.018743552409100767,0.8367657325491414,0.8367310205164689,dense,1.1234253000002354
32,32,0.03,30.0,1000.0,wl_buffer_full,full,0.018693527113122863,0.018693527113122863,0.8345324604072707,0.8345324604072707,dense,0.5318278000049759
32,32,0.03,30.0,1000.0,bl_star,full,0.019245392208620433,0.022056980474082773,0.9846866283072667,0.8392656034521968,dense,0.26692379999440163
32,32,0.03,30.0,1000.0,combined_full,full,0.006868096548558732,0.006868096548558732,0.3066114530606577,0.3066114530606577,dense,0.587008300004527
32,32,0.1,100.0,1000.0,baseline,none,0.02189739816999462,0.02220884151890077,0.9914661392366415,0.977372132644462,dense,0.22099600000365172
